accelX,accelY,accelZ,gyroX,gyroY,gyroZ,activity
932,164,16252,5,10,-8,0
972,148,16176,-3,10,-11,0
960,112,16280,11,4,-2,0
1040,56,16236,0,6,-2,0
1004,152,16220,-3,0,-2,0
976,180,16188,3,12,-7,0
956,188,16248,-4,-10,-1,0
968,140,16280,4,9,-10,0
972,120,16308,8,16,1,0
956,84,16292,5,7,4,0
1024,180,16328,10,7,-2,0
1016,88,16188,6,8,-11,0
1044,196,16292,0,4,-20,0
996,212,16124,9,4,-11,0
988,36,16196,12,11,-6,0
968,120,16296,17,13,-8,0
980,152,16244,8,5,-12,0
980,148,16252,9,7,-11,0
1000,176,16332,4,7,5,0
1000,148,16300,8,6,-4,0
964,144,16236,5,-1,1,0
984,140,16280,3,7,-8,0
1032,168,16148,2,14,-5,0
916,124,16252,-6,14,-10,0
1000,124,16176,7,7,-4,0
972,132,16032,-4,-2,-7,0
988,160,16248,11,9,-3,0
1000,188,16284,3,4,-6,0
1004,168,16304,2,10,-7,0
1024,160,16324,8,5,-3,0
1032,88,16016,8,0,1,0
980,180,16348,-6,7,0,0
1040,148,16220,0,-3,1,0
1000,132,16216,4,11,-10,0
952,140,16152,14,11,-9,0
980,140,16144,6,9,-10,0
992,172,16076,1,3,-19,0
912,128,16276,7,-5,1,0
964,184,16244,5,11,-6,0
988,172,16120,3,-5,-12,0
956,64,16224,10,15,-3,0
984,128,16252,1,6,-4,0
1024,144,16240,-1,-7,-7,0
972,124,16276,6,-7,-10,0
904,124,16200,5,-2,-4,0
884,212,16420,12,11,-8,0
952,124,16240,-3,16,-8,0
968,128,16332,9,5,-9,0
848,128,16240,3,4,0,0
960,140,16192,4,-9,-15,0
1004,156,16244,0,-5,-9,0
1036,172,16096,10,8,-5,0
1024,188,16312,12,2,-7,0
960,120,16204,4,5,-11,0
996,140,16160,2,5,-10,0
948,156,16236,6,2,-6,0
1024,96,16296,5,12,-8,0
1028,140,16184,6,12,-16,0
1016,144,16176,3,3,-12,0
1004,108,16180,8,10,3,0
944,92,16216,2,-1,-5,0
988,176,16188,-5,-6,-5,0
848,176,16460,3,2,-14,0
952,160,16208,-2,-16,-8,0
1100,124,16148,6,-11,8,0
1140,60,16312,-4,-11,-3,0
1108,84,15976,4,-12,-9,0
1000,168,16172,4,2,-3,0
908,140,16164,-8,8,-3,0
1032,120,16224,-2,-13,-5,0
968,100,16200,1,1,-7,0
1016,120,16112,8,-2,-3,0
972,140,16144,7,-3,-7,0
1100,192,16072,-2,-5,-12,0
952,84,16356,5,24,-1,0
1028,152,16212,11,-1,-15,0
